AutoRecord MainCharacterSystem & CharacterMotorConfig
Date: 2025-10-15 19:49:36
MainCharacterSystemAddr = 0x7241F98C80
CharacterMotorConfigAddr = 0x7241C56630
WindowBytes = 256
Time,Section,Offset,Address,FloatValue,DwordValue
2025-10-15 19:49:43,Main,0x7C,0x7241F98CFC,0.0,0
2025-10-15 19:49:43,Main,0x80,0x7241F98D00,9.3063690087547E-10,813682624
2025-10-15 19:49:43,Main,0x84,0x7241F98D04,1.6114932339735396E-43,115
2025-10-15 19:49:43,Main,0x88,0x7241F98D08,0.0,0
2025-10-15 19:49:43,Main,0x8C,0x7241F98D0C,0.0,0
2025-10-15 19:49:43,Main,0x90,0x7241F98D10,0.0,0
2025-10-15 19:49:43,Main,0x94,0x7241F98D14,0.0,0
2025-10-15 19:49:43,Main,0x98,0x7241F98D18,0.0,0
2025-10-15 19:49:43,Main,0x9C,0x7241F98D1C,0.0,0
2025-10-15 19:49:43,Main,0xA0,0x7241F98D20,12183376.0,1262085968
2025-10-15 19:49:43,Main,0xA4,0x7241F98D24,1.5974802493302915E-43,114
2025-10-15 19:49:43,Main,0xA8,0x7241F98D28,0.0,0
2025-10-15 19:49:43,Main,0xAC,0x7241F98D2C,0.0,0
2025-10-15 19:49:43,Main,0xB0,0x7241F98D30,0.0,0
2025-10-15 19:49:43,Main,0xB4,0x7241F98D34,0.0,0
2025-10-15 19:49:43,Main,0xB8,0x7241F98D38,12183232.0,1262085824
2025-10-15 19:49:43,Main,0xBC,0x7241F98D3C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Main,0xC0,0x7241F98D40,0.0,0
2025-10-15 19:49:43,Main,0xC4,0x7241F98D44,0.0,0
2025-10-15 19:49:43,Main,0xC8,0x7241F98D48,800.455078125,1145576736
2025-10-15 19:49:43,Main,0xCC,0x7241F98D4C,1.5974802493302915E-43,114
2025-10-15 19:49:43,Main,0xD0,0x7241F98D50,992.837890625,1148728736
2025-10-15 19:49:43,Main,0xD4,0x7241F98D54,1.5974802493302915E-43,114
2025-10-15 19:49:43,Main,0xD8,0x7241F98D58,0.0,0
2025-10-15 19:49:43,Main,0xDC,0x7241F98D5C,0.0,0
2025-10-15 19:49:43,Main,0xE0,0x7241F98D60,1.401298464324817E-45,1
2025-10-15 19:49:43,Main,0xE4,0x7241F98D64,0.0,0
2025-10-15 19:49:43,Main,0xE8,0x7241F98D68,0.0,0
2025-10-15 19:49:43,Main,0xEC,0x7241F98D6C,0.0,0
2025-10-15 19:49:43,Main,0xF0,0x7241F98D70,992.8349609375,1148728688
2025-10-15 19:49:43,Main,0xF4,0x7241F98D74,1.5974802493302915E-43,114
2025-10-15 19:49:43,Main,0xF8,0x7241F98D78,0.0,0
2025-10-15 19:49:43,Main,0xFC,0x7241F98D7C,0.0,0
2025-10-15 19:49:43,Main,0x100,0x7241F98D80,8.261977768597717E-9,839774352
2025-10-15 19:49:43,Motor,0x0,0x7241C56630,7.3666797106852755E-9,838671872
2025-10-15 19:49:43,Motor,0x4,0x7241C56634,1.6114932339735396E-43,115
2025-10-15 19:49:43,Motor,0x8,0x7241C56638,0.0,0
